epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.04897,4.35835,3.95478,2.9501,0.00143,0.01515,0.00078,0.00019,4.72136,4.34439,3.07939,6e-05,6e-05,6e-05
2,6.59514,4.09187,3.55377,2.8013,0.18691,0.4798,0.19115,0.03634,2.7281,7.77106,1.95438,0.000138614,0.000138614,0.000138614
3,9.51411,2.41743,1.80016,1.73382,0.30476,0.76768,0.4436,0.11412,2.53128,9.92208,1.76124,0.000215644,0.000215644,0.000215644
4,12.391,1.90407,1.1863,1.41029,0.4,0.54545,0.3728,0.16635,1.83699,13.4952,1.493,0.00029109,0.00029109,0.00029109
5,15.013,1.77431,1.06987,1.399,0.2517,0.74747,0.24617,0.12353,1.63612,15.7251,1.43125,0.000364952,0.000364952,0.000364952
6,17.5413,1.68488,0.95014,1.36022,0.33962,0.54545,0.33389,0.13621,1.91859,26.7363,1.53485,0.00043723,0.00043723,0.00043723
7,20.0687,1.72527,0.95835,1.3592,0.45833,0.72222,0.44145,0.20364,1.79654,20.7405,1.51166,0.000507924,0.000507924,0.000507924
8,22.7116,1.55815,0.93331,1.27351,0.35128,0.69192,0.41036,0.20458,1.71353,14.4634,1.50285,0.000577034,0.000577034,0.000577034
9,27.0272,1.64728,0.97913,1.31155,0.29324,0.89394,0.31633,0.14111,1.87545,7.63212,1.52764,0.00064456,0.00064456,0.00064456
10,31.1952,1.63113,0.90157,1.26887,0.30097,0.91919,0.36524,0.18065,1.69897,7.34948,1.47265,0.000710502,0.000710502,0.000710502
11,35.2829,1.57887,0.86324,1.32887,0.22974,0.92424,0.28752,0.11425,2.01598,9.36879,1.57944,0.00077486,0.00077486,0.00077486
12,39.6035,1.64839,0.88715,1.29302,0.2627,0.92424,0.30382,0.12875,1.9645,7.41181,1.81967,0.000837634,0.000837634,0.000837634
13,42.4639,1.56083,0.86965,1.28042,0.32319,0.91414,0.32662,0.16279,1.62933,4.68659,1.33297,0.000898824,0.000898824,0.000898824
14,44.9497,1.58038,0.86615,1.26022,0.29923,0.92518,0.30019,0.14945,1.67448,5.53549,1.41552,0.00095843,0.00095843,0.00095843
15,47.4369,1.61381,0.85435,1.27925,0.47634,0.72222,0.44874,0.19374,1.8469,2.41728,1.55573,0.00101645,0.00101645,0.00101645
16,49.9059,1.59879,0.86554,1.24362,0.77566,0.70707,0.70215,0.27374,2.02502,1.96027,1.67656,0.00107289,0.00107289,0.00107289
17,52.4707,1.59984,0.83456,1.25233,0.49334,0.62626,0.56929,0.2656,1.84212,3.0224,1.84373,0.00112774,0.00112774,0.00112774
18,55.0095,1.58509,0.88046,1.24785,0.70371,0.43185,0.45675,0.18173,2.41619,2.01474,2.38177,0.00118101,0.00118101,0.00118101
19,57.5042,1.51623,0.8471,1.23751,0.71206,0.42424,0.42013,0.16359,2.63587,1.82232,2.45454,0.0012327,0.0012327,0.0012327
20,59.9755,1.50038,0.8258,1.2217,0.75016,0.69192,0.7518,0.33444,1.87058,1.35168,1.50469,0.0012828,0.0012828,0.0012828
21,62.6188,1.54605,0.85841,1.24962,0.50777,0.81796,0.50977,0.23309,1.70451,2.37866,1.38063,0.00133132,0.00133132,0.00133132
22,65.2051,1.49418,0.87956,1.23635,0.52002,0.80303,0.53395,0.26048,1.68605,2.08177,1.39398,0.00137825,0.00137825,0.00137825
23,67.7432,1.69268,0.88584,1.23811,0.381,0.80303,0.38389,0.18882,1.70127,3.69151,1.42723,0.0014236,0.0014236,0.0014236
24,70.293,1.54938,0.88567,1.22139,0.44787,0.86364,0.479,0.21999,1.75715,3.681,1.48195,0.00146737,0.00146737,0.00146737
25,72.7932,1.64089,0.84921,1.26418,0.6399,0.81313,0.70844,0.34448,1.65045,2.65057,1.4049,0.00150955,0.00150955,0.00150955
26,75.3577,1.45894,0.80889,1.19487,0.62557,0.84343,0.68094,0.33671,1.62661,2.0542,1.3348,0.001505,0.001505,0.001505
27,77.8658,1.5915,0.80278,1.22065,0.73169,0.84343,0.82401,0.43968,1.56349,1.51465,1.29349,0.0014852,0.0014852,0.0014852
28,80.4832,1.47749,0.79266,1.1846,0.7647,0.87879,0.89219,0.34456,1.91335,1.82481,1.47535,0.0014654,0.0014654,0.0014654
29,83.028,1.66345,0.83182,1.31803,0.79805,0.90909,0.92129,0.37126,1.82944,1.71852,1.36883,0.0014456,0.0014456,0.0014456
30,85.5267,1.58855,0.8296,1.26661,0.83119,0.90404,0.93132,0.46335,1.63879,1.37681,1.30409,0.0014258,0.0014258,0.0014258
31,88.1117,1.49242,0.8237,1.20263,0.90922,0.94949,0.96931,0.49423,1.58089,1.08183,1.33624,0.001406,0.001406,0.001406
32,90.7021,1.48084,0.79835,1.18072,0.89867,0.97475,0.97122,0.50205,1.53778,1.0554,1.38322,0.0013862,0.0013862,0.0013862
33,93.2993,1.459,0.75855,1.2018,0.90198,0.93939,0.95347,0.47976,1.66544,1.07786,1.31429,0.0013664,0.0013664,0.0013664
34,95.9277,1.52847,0.79898,1.18942,0.91317,0.90291,0.96716,0.49525,1.61808,1.0169,1.3448,0.0013466,0.0013466,0.0013466
35,98.4491,1.46204,0.8022,1.20462,0.86579,0.91229,0.94108,0.48758,1.59853,0.95195,1.3023,0.0013268,0.0013268,0.0013268
36,100.931,1.46182,0.76276,1.17571,0.86912,0.92424,0.94069,0.51207,1.53934,0.88369,1.27576,0.001307,0.001307,0.001307
37,103.555,1.44157,0.7744,1.17376,0.89929,0.92424,0.95753,0.49496,1.53261,0.86838,1.28308,0.0012872,0.0012872,0.0012872
38,106.15,1.44085,0.77504,1.15079,0.90841,0.97475,0.97502,0.52409,1.44098,0.84016,1.3281,0.0012674,0.0012674,0.0012674
39,111.609,1.38264,0.75317,1.15471,0.87955,0.99572,0.96702,0.50212,1.45456,0.86795,1.30563,0.0012476,0.0012476,0.0012476
40,115.608,1.49427,0.79797,1.18598,0.9153,0.99495,0.97169,0.49738,1.46624,0.85246,1.28279,0.0012278,0.0012278,0.0012278
41,119.893,1.41077,0.74718,1.15624,0.94186,0.99495,0.97428,0.53748,1.423,0.80423,1.252,0.001208,0.001208,0.001208
42,125.45,1.38975,0.78841,1.16608,0.91946,0.98021,0.97572,0.55793,1.40535,0.74924,1.26002,0.0011882,0.0011882,0.0011882
43,131.031,1.44993,0.75995,1.15181,0.93634,0.9697,0.97468,0.55286,1.44257,0.72079,1.25697,0.0011684,0.0011684,0.0011684
44,135.003,1.41576,0.73002,1.12754,0.94448,0.96465,0.97673,0.53647,1.4803,0.72479,1.22562,0.0011486,0.0011486,0.0011486
45,137.907,1.44139,0.72825,1.15797,0.93907,0.94949,0.97499,0.53578,1.44465,0.71874,1.19193,0.0011288,0.0011288,0.0011288
46,140.405,1.45664,0.7347,1.14187,0.93592,0.94444,0.97582,0.55251,1.41606,0.72541,1.19967,0.001109,0.001109,0.001109
